PCODE;Weeks;Name;Population;Cases;Cumul_cases;IR_100000;CumulIR_100000
NG011001;1;Abakaliki;198100;0;0;0;0
NG011001;2;Abakaliki;198100;1;1;0,5;0,5
NG011001;3;Abakaliki;198100;0;1;0;0,5
NG011001;4;Abakaliki;198100;1;2;0,5;1,01
NG011001;5;Abakaliki;198100;0;2;0;1,01
NG011001;6;Abakaliki;198100;0;2;0;1,01
NG011001;7;Abakaliki;198100;0;2;0;1,01
NG011001;8;Abakaliki;198100;0;2;0;1,01
NG011001;9;Abakaliki;198100;0;2;0;1,01
NG011001;10;Abakaliki;198100;0;2;0;1,01
NG011001;11;Abakaliki;198100;0;2;0;1,01
NG011001;12;Abakaliki;198100;0;2;0;1,01
NG011001;13;Abakaliki;198100;0;2;0;1,01
NG011001;14;Abakaliki;198100;0;2;0;1,01
NG011001;15;Abakaliki;198100;0;2;0;1,01
NG011001;16;Abakaliki;198100;0;2;0;1,01
NG011001;17;Abakaliki;198100;0;2;0;1,01
NG011001;18;Abakaliki;198100;0;2;0;1,01
NG011001;19;Abakaliki;198100;0;2;0;1,01
NG011001;20;Abakaliki;198100;1;3;0,5;1,51
NG011001;21;Abakaliki;198100;0;3;0;1,51
NG011001;22;Abakaliki;198100;0;3;0;1,51
NG011001;23;Abakaliki;198100;0;3;0;1,51
NG011001;24;Abakaliki;198100;0;3;0;1,51
NG011001;25;Abakaliki;198100;0;3;0;1,51
NG011001;26;Abakaliki;198100;0;3;0;1,51
NG011001;27;Abakaliki;198100;0;3;0;1,51
NG011001;28;Abakaliki;198100;0;3;0;1,51
NG011001;29;Abakaliki;198100;0;3;0;1,51
NG011001;30;Abakaliki;198100;0;3;0;1,51
NG011001;31;Abakaliki;198100;0;3;0;1,51
NG011001;32;Abakaliki;198100;;3;0;1,51
NG011001;33;Abakaliki;198100;;3;0;1,51
NG011001;34;Abakaliki;198100;;3;0;1,51
NG011001;35;Abakaliki;198100;;3;0;1,51
NG011001;36;Abakaliki;198100;;3;0;1,51
NG011001;37;Abakaliki;198100;;3;0;1,51
NG011001;38;Abakaliki;198100;;3;0;1,51
NG011001;39;Abakaliki;198100;;3;0;1,51
NG011001;40;Abakaliki;198100;;3;0;1,51
NG011001;41;Abakaliki;198100;;3;0;1,51
NG011001;42;Abakaliki;198100;;3;0;1,51
NG011001;43;Abakaliki;198100;;3;0;1,51
NG011001;44;Abakaliki;198100;;3;0;1,51
NG011001;45;Abakaliki;198100;;3;0;1,51
NG011001;46;Abakaliki;198100;;3;0;1,51
NG011001;47;Abakaliki;198100;;3;0;1,51
NG011001;48;Abakaliki;198100;;3;0;1,51
NG011001;49;Abakaliki;198100;;3;0;1,51
NG011001;50;Abakaliki;198100;;3;0;1,51
NG011001;51;Abakaliki;198100;;3;0;1,51
NG011001;52;Abakaliki;198100;;3;0;1,51
NG011001;53;Abakaliki;198100;;3;0;1,51
NG011001;54;Abakaliki;198100;;3;0;1,51
NG011001;55;Abakaliki;198100;;3;0;1,51
NG011001;56;Abakaliki;198100;;3;0;1,51
NG011001;57;Abakaliki;198100;;3;0;1,51
NG011001;58;Abakaliki;198100;;3;0;1,51
NG011001;59;Abakaliki;198100;;3;0;1,51
NG011001;60;Abakaliki;198100;;3;0;1,51
NG011001;61;Abakaliki;198100;;3;0;1,51
NG011001;62;Abakaliki;198100;;3;0;1,51
NG011001;63;Abakaliki;198100;;3;0;1,51
NG011001;64;Abakaliki;198100;;3;0;1,51
NG011001;65;Abakaliki;198100;;3;0;1,51
NG011001;66;Abakaliki;198100;;3;0;1,51
NG011001;67;Abakaliki;198100;;3;0;1,51
NG011001;68;Abakaliki;198100;;3;0;1,51
NG011001;69;Abakaliki;198100;;3;0;1,51
NG011001;70;Abakaliki;198100;;3;0;1,51
NG011001;71;Abakaliki;198100;;3;0;1,51
NG011001;72;Abakaliki;198100;;3;0;1,51
NG011001;73;Abakaliki;198100;;3;0;1,51
NG011001;74;Abakaliki;198100;;3;0;1,51
NG011001;75;Abakaliki;198100;;3;0;1,51
NG011001;76;Abakaliki;198100;;3;0;1,51
NG011001;77;Abakaliki;198100;;3;0;1,51
NG011001;78;Abakaliki;198100;;3;0;1,51
NG011001;79;Abakaliki;198100;;3;0;1,51
NG011001;80;Abakaliki;198100;;3;0;1,51
NG011001;81;Abakaliki;198100;;3;0;1,51
NG011001;82;Abakaliki;198100;;3;0;1,51
NG011001;83;Abakaliki;198100;;3;0;1,51
NG011001;84;Abakaliki;198100;;3;0;1,51
NG011001;85;Abakaliki;198100;;3;0;1,51
NG011001;86;Abakaliki;198100;;3;0;1,51
NG011001;87;Abakaliki;198100;;3;0;1,51
NG011001;88;Abakaliki;198100;;3;0;1,51
NG011001;89;Abakaliki;198100;;3;0;1,51
NG011001;90;Abakaliki;198100;;3;0;1,51
NG011001;91;Abakaliki;198100;;3;0;1,51
NG011001;92;Abakaliki;198100;;3;0;1,51
NG011001;93;Abakaliki;198100;;3;0;1,51
NG011001;94;Abakaliki;198100;;3;0;1,51
NG011001;95;Abakaliki;198100;;3;0;1,51
NG011001;96;Abakaliki;198100;;3;0;1,51
NG011001;97;Abakaliki;198100;;3;0;1,51
NG011001;98;Abakaliki;198100;;3;0;1,51
NG011001;99;Abakaliki;198100;;3;0;1,51
NG011001;100;Abakaliki;198100;;3;0;1,51
NG011001;101;Abakaliki;198100;;3;0;1,51
NG011001;102;Abakaliki;198100;;3;0;1,51
NG011001;103;Abakaliki;198100;;3;0;1,51
NG011001;104;Abakaliki;198100;2;3;0;1,51
NG011002;1;Afikpo North;207300;0;0;0;0
NG011002;2;Afikpo North;207300;0;0;0;0
NG011002;3;Afikpo North;207300;0;0;0;0
NG011002;4;Afikpo North;207300;0;0;0;0
NG011002;5;Afikpo North;207300;0;0;0;0
NG011002;6;Afikpo North;207300;0;0;0;0
NG011002;7;Afikpo North;207300;0;0;0;0
NG011002;8;Afikpo North;207300;0;0;0;0
NG011002;9;Afikpo North;207300;0;0;0;0
NG011002;10;Afikpo North;207300;0;0;0;0
NG011002;11;Afikpo North;207300;0;0;0;0
NG011002;12;Afikpo North;207300;0;0;0;0
NG011002;13;Afikpo North;207300;0;0;0;0
NG011002;14;Afikpo North;207300;0;0;0;0
NG011002;15;Afikpo North;207300;0;0;0;0
NG011002;16;Afikpo North;207300;0;0;0;0
NG011002;17;Afikpo North;207300;0;0;0;0
NG011002;18;Afikpo North;207300;0;0;0;0
NG011002;19;Afikpo North;207300;0;0;0;0
NG011002;20;Afikpo North;207300;0;0;0;0
NG011002;21;Afikpo North;207300;0;0;0;0
NG011002;22;Afikpo North;207300;0;0;0;0
NG011002;23;Afikpo North;207300;0;0;0;0
NG011002;24;Afikpo North;207300;0;0;0;0
NG011002;25;Afikpo North;207300;0;0;0;0
